! Number of elements/conserved properties
7
! Name
amu
crg
H
He
C
O
Mg
! Number of species
33
! Name        < Initial     amu  crg H  He C  O  Mg
H2            C+            CH+           H                             51 2    1.000e-10    0.000e+00    4.640e+03
H2+           CH            CH2+          H                             52 2    7.100e-10    0.000e+00    0.000e+00
H2            CH+           CH2+          H                             53 2    1.200e-09    0.000e+00    0.000e+00
H2+           CH2           CH3+          H                             54 2    1.000e-09    0.000e+00    0.000e+00
H2            CH2+          CH3+          H                             55 2    1.600e-09    0.000e+00    0.000e+00
H2+           O             OH+           H                             56 2    1.500e-09    0.000e+00    0.000e+00
H2            O+            OH+           H                             57 2    1.700e-09    0.000e+00    0.000e+00
H2+           CH4           CH5+          H                             58 2    1.140e-10    0.000e+00    0.000e+00
H2            CH4+          CH5+          H                             59 2    3.300e-11    0.000e+00    0.000e+00
H2+           CH4           CH3+          H2            H               60 2    2.300e-09    0.000e+00    0.000e+00
H2+           OH            H2O+          H                             61 2    7.600e-10    0.000e+00    0.000e+00
H2            OH+           H2O+          H                             62 2    1.010e-09    0.000e+00    0.000e+00
H2+           H2O           H3O+          H                             63 2    3.400e-09    0.000e+00    0.000e+00
H2            H2O+          H3O+          H                             64 2    6.400e-10    0.000e+00    0.000e+00
H2+           CO            HCO+          H                             65 2    2.160e-09    0.000e+00    0.000e+00
H2            CO+           HCO+          H                             66 2    1.800e-09    0.000e+00    0.000e+00
H3+           C             CH+           H2                            67 2    2.000e-09    0.000e+00    0.000e+00
H3+           CH            CH2+          H2                            68 2    1.200e-09    0.000e+00    0.000e+00
H3+           CH2           CH3+          H2                            69 2    1.700e-09    0.000e+00    0.000e+00
H3+           CH3           CH4+          H2                            70 2    2.100e-09    0.000e+00    0.000e+00
H3+           O             OH+           H2                            71 2    8.000e-10    0.000e+00    0.000e+00
H3+           CH4           CH5+          H2                            72 2    2.400e-09    0.000e+00    0.000e+00
H3+           OH            H2O+          H2                            73 2    1.300e-09    0.000e+00    0.000e+00
H3+           H2O           H3O+          H2                            74 2    5.900e-09    0.000e+00    0.000e+00
H3+           CO            HCO+          H2                            75 2    1.700e-09    0.000e+00    0.000e+00
He+           CH            C+            He            H               76 2    1.100e-09    0.000e+00    0.000e+00
He+           CH2           C+            He            H2              77 2    7.500e-10    0.000e+00    0.000e+00
He+           CH2           CH+           He            H               78 2    7.500e-10    0.000e+00    0.000e+00
He+           CH3           CH+           He            H2              79 2    1.800e-09    0.000e+00    0.000e+00
He+           CH4           CH2+          He            H2              80 2    9.500e-10    0.000e+00    0.000e+00
He+           CH4           CH3           He            H+              81 2    4.800e-10    0.000e+00    0.000e+00
