!MOLECULE
CH+
!MOLECULAR WEIGHT
13.0
!NUMBER OF ENERGY LEVELS
11
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.0000          1.0     0
    2    27.8572          3.0     1
    3    83.5384          5.0     2
    4   166.9780          7.0     3
    5   278.0750          9.0     4
    6   416.7000         11.0     5
    7   582.6890         13.0     6
    8   775.8440         15.0     7
    9   995.9410         17.0     8
   10  1242.7200         19.0     9
   11  1515.9000         21.0    10
!NUMBER OF RADIATIVE TRANSITIONS                        
10                                                     
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   6.3636E-03  40.08023       40.080249  
    2     3     2   6.0982E-02  80.11277      120.192980  
    3     4     3   2.1986E-01 120.05007      240.243089  
    4     5     4   5.3826E-01 159.84483      400.087851  
    5     6     5   1.0693E+00 199.45017      599.538066  
    6     7     6   1.8640E+00 238.81973      838.357775  
    7     8     7   2.9698E+00 277.90781     1116.265554  
    8     9     8   4.4307E+00 316.66949     1432.935088  
    9    10     9   6.2861E+00 355.06075     1787.995894  
   10    11    10   8.5716E+00 393.03858     2181.034466  
!NUMBER OF COLL PARTNERS         
1                               
!COLLISIONS BETWEEN              
6 CO-He from Hammami et al. 2008 and 2009                                                                                                                                                       
!NUMBER OF COLL TRANS                                                                                                                                                        
55                                                                                                                                                                           
!NUMBER OF COLL TEMPS                                                                                                                                                        
10                                                                                                                                                                           
!COLL TEMPS                                                                                                                                                                  
                 20             50             100            150            200            300            500            1000           1500           2000                 
!TRANS+ UP+ LOW+ Downward collision rates (cm^3 s^-1)                                                                                                                        
   23    8   2    6.6745e-12  6.1394e-12     6.2620e-12     6.6789e-12     7.1551e-12     8.1105E-12     1.0045E-11     1.5631E-11     2.0767E-11     2.4497E-11         
   24    8   3    9.7549e-13  8.9064e-13     9.5523e-13     1.0747e-12     1.2141e-12     1.5290E-12     2.2415E-12     4.1090E-12     5.7047E-12     6.9146E-12         
   25    8   4    1.7171e-11  1.6583e-11     1.7401e-11     1.8958e-11     2.0733e-11     2.4418E-11     3.1705E-11     4.8123E-11     6.0615E-11     6.9304E-11         
   26    8   5    3.3571e-12  2.9192e-12     2.9348e-12     3.1405e-12     3.4122e-12     4.0769E-12     5.6780E-12     9.7084E-12     1.2814E-11     1.5021E-11         
   27    8   6    5.7756e-11  5.4105e-11     5.5203e-11     5.9011e-11     6.3682e-11     7.3617E-11     9.2301E-11     1.2673E-10     1.4868E-10     1.6326E-10         
   28    8   7    1.5046e-11  1.2999e-11     1.2469e-11     1.2827e-11     1.3541e-11     1.5508E-11     2.0148E-11     3.0772E-11     3.8740E-11     4.4530E-11         
   29    9   1    9.3767e-13  9.1762e-13     9.9350e-13     1.1055e-12     1.2208e-12     1.4359E-12     1.8300E-12     3.0413E-12     4.3682E-12     5.4488E-12         
   30    9   2    6.8989e-13  6.0842e-13     6.2494e-13     6.8573e-13     7.5827e-13     9.0915E-13     1.2019E-12     1.9538E-12     2.6903E-12     3.3078E-12         
   31    9   3    5.1543e-12  4.8935e-12     5.2168e-12     5.7922e-12     6.4294e-12     7.7361E-12     1.0389E-11     1.7651E-11     2.4520E-11     2.9880E-11         
   32    9   4    1.8788e-12  1.6778e-12     1.7064e-12     1.8462e-12     2.0149e-12     2.3727E-12     3.1083E-12     5.0438E-12     6.8186E-12     8.2340E-12         
   33    9   5    1.2953e-11  1.2507e-11     1.3373e-11     1.4899e-11     1.6653e-11     2.0407E-11     2.8012E-11     4.5156E-11     5.8453E-11     6.8144E-11         
   34    9   6    4.8511e-12  4.2524e-12     4.1917e-12     4.4073e-12     4.6978e-12     5.3564E-12     6.7877E-12     1.0395E-11     1.3359E-11     1.5551E-11         
   35    9   7    4.1750e-11  3.9866e-11     4.1485e-11     4.5209e-11     4.9692e-11     5.9379E-11     7.8105E-11     1.1414E-10     1.3805E-10     1.5436E-10         
   36    9   8    1.8232e-11  1.5680e-11     1.4610e-11     1.4621e-11     1.5021e-11     1.6382E-11     1.9895E-11     2.8486E-11     3.5245E-11     4.0284E-11         
   37   10   1    2.0186e-13  1.8669e-13     2.0033e-13     2.2742e-13     2.5770e-13     3.1749E-13     4.1519E-13     6.0967E-13     7.9911E-13     9.6908E-13         
   38   10   2    1.3153e-12  1.2699e-12     1.3907e-12     1.5892e-12     1.8070e-12     2.2637E-12     3.2040E-12     6.0848E-12     9.2677E-12     1.2005E-11         
   39   10   3    1.0810e-12  9.9593e-13     1.0605e-12     1.1958e-12     1.3473e-12     1.6464E-12     2.1416E-12     3.1582E-12     4.1187E-12     4.9529E-12         
   40   10   4    3.3574e-12  3.2925e-12     3.6542e-12     4.2265e-12     4.8711e-12     6.3038E-12     9.4243E-12     1.7913E-11     2.5792E-11     3.2072E-11         
